epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,5549.97,0.96112,0.75451,1.3771,0.71315,0.56332,0.52848,0.22958,1.97995,1.9829,2.26704,0.0004424,0.0004424,0.0004424
120,5596.02,1.00339,0.83681,1.42593,0.78804,0.56769,0.59793,0.27916,1.85498,1.84568,2.11744,0.0004292,0.0004292,0.0004292
121,5644.46,0.93595,0.77266,1.37928,0.71325,0.56769,0.55363,0.26479,1.9032,1.92344,2.15162,0.000416,0.000416,0.000416
122,5691.27,1.00348,0.80913,1.45122,0.74608,0.55022,0.55818,0.23993,2.03083,2.02492,2.38305,0.0004028,0.0004028,0.0004028
123,5737.74,0.99229,0.83087,1.42841,0.7579,0.57642,0.58207,0.27341,1.90663,1.89994,2.20161,0.0003896,0.0003896,0.0003896
124,5784.24,1.00527,0.82005,1.43017,0.70619,0.57729,0.56936,0.25306,1.9915,2.02928,2.30751,0.0003764,0.0003764,0.0003764
125,5830.39,0.93268,0.75969,1.37818,0.74248,0.60435,0.59328,0.28453,1.93226,2.00301,2.24292,0.0003632,0.0003632,0.0003632
126,5876.62,0.9866,0.78009,1.40012,0.72642,0.57975,0.56834,0.27159,1.95719,2.02363,2.29665,0.00035,0.00035,0.00035
127,5923.05,0.96107,0.76763,1.40836,0.70353,0.61138,0.56999,0.26812,1.90763,1.94101,2.18129,0.0003368,0.0003368,0.0003368
128,5969.2,1.02095,0.84405,1.4279,0.69162,0.6072,0.57564,0.24727,1.98051,1.98704,2.36425,0.0003236,0.0003236,0.0003236
129,6015.48,0.93293,0.76221,1.36987,0.68525,0.56093,0.56378,0.26024,1.94594,2.12835,2.20458,0.0003104,0.0003104,0.0003104
130,6062.02,0.94231,0.76245,1.38738,0.72288,0.57205,0.59119,0.26827,1.91231,2.01377,2.19772,0.0002972,0.0002972,0.0002972
131,6107.97,0.94805,0.74452,1.36742,0.7341,0.60262,0.59627,0.27482,1.91515,1.98674,2.25529,0.000284,0.000284,0.000284
132,6153.97,0.96018,0.75433,1.38046,0.72927,0.56769,0.55006,0.25279,1.98065,2.10783,2.33321,0.0002708,0.0002708,0.0002708
133,6201.21,0.91644,0.73507,1.33558,0.73683,0.59911,0.59094,0.27696,1.92946,2.00689,2.23656,0.0002576,0.0002576,0.0002576
134,6247.81,0.94026,0.75185,1.38102,0.79395,0.55459,0.59577,0.27251,1.90468,1.91253,2.21016,0.0002444,0.0002444,0.0002444
135,6293.61,0.94018,0.8041,1.37243,0.74792,0.57642,0.57567,0.25601,1.93692,1.96661,2.2444,0.0002312,0.0002312,0.0002312
136,6340.14,0.99057,0.81961,1.41476,0.74004,0.58427,0.56756,0.25483,1.98285,1.96559,2.31406,0.000218,0.000218,0.000218
137,6386.47,0.90059,0.76553,1.34085,0.65885,0.60721,0.57024,0.26651,1.96321,1.92601,2.30729,0.0002048,0.0002048,0.0002048
138,6432.76,0.95061,0.82498,1.39292,0.7043,0.60699,0.5712,0.26605,1.96541,2.01167,2.29282,0.0001916,0.0001916,0.0001916
139,6479.11,0.95236,0.78862,1.39516,0.72481,0.60699,0.59476,0.2669,1.96512,1.94699,2.31517,0.0001784,0.0001784,0.0001784
140,6525.34,0.90836,0.72891,1.35673,0.73383,0.62605,0.60094,0.26954,1.95213,1.8902,2.30909,0.0001652,0.0001652,0.0001652
141,6570.3,0.76906,0.50358,1.26282,0.80483,0.54148,0.566,0.27092,1.94975,1.94409,2.26309,0.000152,0.000152,0.000152
142,6614.95,0.74283,0.49612,1.21982,0.78222,0.53329,0.55213,0.24633,2.03238,2.00624,2.37648,0.0001388,0.0001388,0.0001388
143,6659.73,0.74974,0.49193,1.22101,0.7984,0.5534,0.59195,0.26625,1.99495,1.96142,2.33875,0.0001256,0.0001256,0.0001256
144,6704.62,0.73801,0.47525,1.19858,0.80453,0.56332,0.60212,0.28089,1.9453,1.93274,2.28699,0.0001124,0.0001124,0.0001124
145,6749.3,0.7452,0.47935,1.2533,0.79967,0.55459,0.60624,0.27559,1.96877,1.96148,2.34615,9.92e-05,9.92e-05,9.92e-05
146,6793.93,0.71732,0.48371,1.18332,0.77083,0.55815,0.59229,0.27062,1.98746,1.93811,2.39694,8.6e-05,8.6e-05,8.6e-05
147,6838.88,0.73591,0.47179,1.21671,0.78187,0.58515,0.62565,0.27762,1.9566,1.89232,2.34199,7.28e-05,7.28e-05,7.28e-05
148,6883.33,0.73266,0.46261,1.20275,0.76899,0.59601,0.61297,0.27783,1.95721,1.89634,2.33595,5.96e-05,5.96e-05,5.96e-05
149,6928.11,0.71366,0.45678,1.19554,0.75593,0.57205,0.59954,0.26608,1.99253,1.91309,2.38331,4.64e-05,4.64e-05,4.64e-05
150,6973,0.73675,0.45902,1.22891,0.74962,0.58079,0.5968,0.26775,1.98934,1.91952,2.37004,3.32e-05,3.32e-05,3.32e-05
